pid,zipcode,own_occ,land_sf,yr_built,yr_remod,living_area,num_floors,structure_class,r_bldg_styl,r_roof_typ,r_ext_fin,r_total_rms,r_bdrms,r_full_bth,r_half_bth,r_bth_style,r_kitch,r_kitch_style,r_heat_typ,r_ac,r_fplace,r_ext_cnd,r_ovrall_cnd,r_int_cnd,r_int_fin,r_view,zip,population,pop_density,median_income,city_state,av_total
2230,2130,Y,8597,1964,0,2033,1,R,SL,G,M,8,3,2,0,S,1,S,W,C,2,G,G,G,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",744300
2240,2131,Y,4444,1925,1973,1392,2,R,CL,H,M,8,4,1,1,M,1,S,W,N,0,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",433500
2250,2136,Y,5000,2005,NA,2120,2,R,CL,G,F,10,4,2,1,M,1,M,F,C,1,G,G,G,N,A,2136,28488,6207,58890,"Hyde Park, MA",513598.0233
2260,2131,Y,6000,1992,0,1836,2,R,CL,G,F,7,4,2,1,M,1,M,W,C,1,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",516458.6339
2270,2136,Y,5998,1961,0,1140,1,R,SL,G,A,5,3,1,1,S,1,S,F,N,1,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",309700
2280,2136,Y,8657,1950,0,1232,1,R,RN,G,W,5,2,1,1,S,1,S,W,N,1,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",292600
2290,2132,Y,5325,1909,2003,1356,2,R,CL,G,M,6,3,1,1,S,1,M,W,N,0,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",419400
2300,2136,Y,6041,1960,0,1066,1,R,SL,G,W,8,3,1,1,S,1,M,F,N,1,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",345500
2310,2130,Y,13744,1961,0,1500,1,R,RN,G,W,6,3,2,0,S,1,M,W,C,2,G,G,G,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",861500
2320,2132,Y,5410,1910,0,1424,2,R,CL,L,M,7,3,1,1,S,1,M,W,N,0,G,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",446664.9961
2330,2132,Y,3652,1925,0,1344,2,R,CL,L,M,6,3,1,0,S,1,S,W,N,0,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",410600
2340,2131,Y,6000,1960,0,1170,1,R,CP,G,M,6,3,2,1,S,1,S,F,N,0,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",382000
2350,2131,Y,5000,1900,0,1802,2,R,CL,G,W,7,4,1,0,S,1,S,F,N,0,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",453461.8871
2360,2132,Y,4868,1950,0,800,1,R,RN,G,M,5,2,1,0,S,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",303100
2370,2131,N,2950,1890,0,913,1.5,R,CV,G,M,5,2,1,0,S,1,S,W,N,0,A,A,A,N,F,2131,29826,11505,66735,"Roslindale, MA",230700
2380,2136,N,9250,1984,0,2343,1,R,RR,G,M,10,4,2,0,M,1,M,F,N,1,G,G,G,N,A,2136,28488,6207,58890,"Hyde Park, MA",509615.9491
2390,2132,Y,4500,1940,0,2775,2.5,R,CL,G,W,9,4,1,1,S,1,M,W,N,1,G,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",666078.232
2400,2131,Y,5587,1984,0,2643,1,R,RR,G,M,6,3,1,0,M,1,M,W,N,0,A,A,G,N,A,2131,29826,11505,66735,"Roslindale, MA",425400
2410,2136,Y,3110,1905,1990,2080,2,R,CL,G,S,7,3,1,1,S,1,S,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",296400
2420,2136,Y,9055,1950,1992,1224,1.5,R,CP,G,M,6,3,1,0,S,1,S,F,N,1,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",355900
2430,2136,Y,7217,1964,0,1274,2,R,CL,G,W,7,3,1,1,S,1,S,W,N,1,A,A,A,N,G,2136,28488,6207,58890,"Hyde Park, MA",401900
2440,2124,N,4956,1900,0,1860,2,R,CL,G,A,6,4,2,1,S,1,M,F,N,0,A,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",294900
2450,2136,N,5580,1984,0,1320,2,R,SD,G,M,5,3,1,1,S,1,S,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",315200
2460,2131,Y,7815,1940,0,1008,1,R,CP,G,M,5,2,1,0,S,1,S,W,N,0,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",380100
2470,2124,Y,6350,1900,2005,2514,2,R,CL,G,S,9,4,1,1,S,1,M,W,N,1,A,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",493900
2480,2131,Y,8500,1904,1997,1324,2,R,CL,G,M,7,3,2,0,M,1,M,W,N,0,G,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",436608.9784
2490,2130,Y,6750,1939,NA,2712,2,R,CL,G,B,14,5,2,1,S,1,M,W,C,1,G,G,G,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",1032800
2500,2132,Y,6276,1951,0,1484,2,R,CL,G,M,6,3,1,1,N,1,N,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",445270.6108
2510,2132,Y,5632,1955,0,1248,2,R,CL,G,M,6,3,1,1,S,1,M,F,N,1,A,A,A,N,G,2132,36314,13251,75446,"Cambridge, MA",442500
2520,2124,Y,6300,1910,1999,1434,2,R,CL,H,M,7,3,1,2,S,1,S,W,N,0,A,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",402700
2530,2136,Y,4500,1941,2011,1301,1.5,R,CP,G,W,6,3,1,0,M,1,S,F,N,0,A,A,G,N,A,2136,28488,6207,58890,"Hyde Park, MA",329300
2540,2131,Y,4243,1920,0,864,1,R,BW,H,M,5,2,1,1,S,1,S,W,N,0,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",322061.6922
2550,2132,Y,2426,1904,NA,1233,1.5,R,CP,G,W,6,3,1,0,S,1,S,F,N,0,G,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",295600
2560,2124,Y,4056,1925,2007,1782,2,R,CL,G,W,6,3,1,1,M,1,M,W,N,1,A,A,G,N,A,2124,47783,15913,48841,"Dorchester Center, MA",441700
2570,2136,Y,4438,1967,0,1392,2,R,CL,G,M,6,3,2,0,S,1,S,W,N,1,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",310100
2580,2130,Y,4475,1920,2011,2415,2.5,R,CL,G,W,8,3,2,1,S,1,M,W,N,1,G,G,G,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",762400
2590,2136,Y,6514,1965,0,2068,2,R,CL,G,F,7,3,2,1,S,1,S,W,N,2,G,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",463900
2600,2124,Y,4730,1900,0,2180,2,R,CL,L,W,9,4,2,0,S,1,S,F,N,1,A,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",407000
2610,2124,Y,1769,1991,0,1464,2,R,SD,H,M,6,3,2,0,M,1,M,W,N,0,A,G,G,N,A,2124,47783,15913,48841,"Dorchester Center, MA",231300
2620,2130,Y,6600,1925,2002,2066,1.5,R,CP,G,M,7,4,1,0,M,1,M,W,N,1,G,G,G,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",767400
2630,2136,Y,9692,1940,0,1794,1.5,R,CL,G,W,7,3,1,1,S,1,S,W,N,1,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",393000
2640,2124,N,10500,1895,0,2546,2,R,CL,G,F,8,4,2,1,S,1,S,W,N,1,A,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",607000
2650,2132,Y,3586,1929,0,944,1,R,BW,G,W,5,2,1,0,S,1,S,W,N,0,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",319075.7368
2660,2136,Y,6000,1958,0,1431,2,R,CL,G,M,6,3,1,1,S,1,S,W,N,1,A,G,G,N,A,2136,28488,6207,58890,"Hyde Park, MA",346000
2670,2132,Y,6546,1930,0,1310,1,R,BW,G,M,4,2,1,0,S,1,N,W,N,1,A,A,F,N,A,2132,36314,13251,75446,"Cambridge, MA",360500
