pid,zipcode,own_occ,land_sf,yr_built,yr_remod,living_area,num_floors,structure_class,r_bldg_styl,r_roof_typ,r_ext_fin,r_total_rms,r_bdrms,r_full_bth,r_half_bth,r_bth_style,r_kitch,r_kitch_style,r_heat_typ,r_ac,r_fplace,r_ext_cnd,r_ovrall_cnd,r_int_cnd,r_int_fin,r_view,zip,population,pop_density,median_income,city_state,av_total
20490,2132,Y,17424,1987,0,2225,1.5,R,CP,G,F,6,3,2,0,S,1,S,W,C,1,A,G,G,N,F,2132,36314,13251,75446,"Cambridge, MA",582800
20500,2136,Y,7443,1955,2009,1040,1,R,RR,G,M,6,3,1,0,M,1,M,F,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",308600
20510,2132,Y,5020,1930,0,1330,1,R,BW,G,M,7,4,1,1,S,1,S,W,N,0,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",398600
20520,2132,N,2235,1988,NA,1764,2,R,CL,G,F,7,3,1,1,M,2,M,W,C,0,A,A,G,N,A,2132,36314,13251,75446,"Cambridge, MA",481900
20530,2124,Y,2342,1890,1970,1478,2,R,CL,G,M,8,2,1,1,S,1,S,W,N,0,A,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",285886.7055
20540,2132,N,6020,1995,0,2076,2,R,CL,G,M,8,4,3,1,M,1,M,W,N,1,A,A,G,N,A,2132,36314,13251,75446,"Cambridge, MA",564129.9219
20550,2136,Y,4565,1900,0,1186,1.5,R,CL,G,M,6,3,1,0,M,1,S,F,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",299587.4697
20560,2136,Y,5000,1955,0,1275,1.5,R,CP,G,M,7,3,1,1,S,1,S,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",347100
20570,2136,Y,5220,1950,0,1224,1.5,R,CP,G,M,7,3,2,0,S,1,S,F,N,1,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",340800
20580,2131,Y,4362,1920,0,1771,2,R,CL,G,M,10,5,1,2,S,1,S,W,N,0,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",452507.6885
20590,2136,Y,4200,1950,0,1000,1,R,RN,G,M,6,2,1,1,S,1,S,F,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",234400
20600,2136,Y,5000,1910,0,1661,2,R,CL,G,A,8,4,1,0,N,1,N,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",317200
20610,2124,Y,3860,1897,1999,2989,2.5,R,VT,H,W,9,6,3,0,N,1,S,F,N,1,G,A,A,N,G,2124,47783,15913,48841,"Dorchester Center, MA",580900
20620,2130,Y,5200,1925,0,1490,2,R,CL,G,W,7,3,1,1,S,1,S,W,N,1,A,A,G,N,G,2130,35401,10618,75730,"Jamaica Plain, MA",531016.3366
20630,2131,Y,3900,1905,0,1298,2,R,CL,G,M,6,3,1,1,S,1,N,F,N,0,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",372200
20640,2132,Y,4097,1931,0,1425,2,R,CL,G,W,7,3,2,0,S,1,S,W,N,1,G,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",440317.4338
20650,2131,Y,6600,1891,0,2498,2.5,R,CV,H,W,11,5,2,1,M,1,M,F,N,1,G,G,G,N,A,2131,29826,11505,66735,"Roslindale, MA",677900
20660,2132,Y,5000,1925,0,1389,2,R,CL,H,W,7,4,1,1,S,1,S,W,N,0,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",451991.594
20670,2131,Y,5627,1935,0,1301,1.5,R,BW,G,M,6,3,1,1,M,1,M,W,N,0,A,A,G,N,A,2131,29826,11505,66735,"Roslindale, MA",454700
20680,2136,Y,5869,1966,0,1777,2,R,CL,G,W,8,4,1,2,S,1,S,W,N,2,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",403800
20690,2132,Y,6242,1920,0,1420,1.5,R,CP,G,W,7,4,1,1,S,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",485600
20700,2132,Y,7400,1919,0,1728,2,R,CL,G,M,7,3,1,1,S,1,S,W,D,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",551900
20710,2136,N,6221,1950,2009,1632,2,R,CL,G,S,15,8,3,0,M,2,M,W,N,1,A,A,G,N,A,2136,28488,6207,58890,"Hyde Park, MA",444200
20720,2131,Y,8736,1880,0,2064,2,R,CL,G,U,8,4,2,0,S,1,M,W,N,0,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",510000
20730,2136,Y,5500,1869,0,1288,1.5,R,CL,G,M,9,2,1,1,S,1,M,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",333785.7844
20740,2131,Y,3752,1901,2001,1601,2,R,CL,H,F,6,3,1,1,S,1,M,W,N,0,G,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",438700
20750,2124,Y,4415,1925,0,1496,2,R,CL,G,M,7,4,1,0,S,1,S,F,N,0,F,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",324688.5623
20760,2136,Y,11510,1920,0,4002,2,R,CL,H,B,9,4,1,1,S,1,S,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",533000
20770,2124,Y,3944,1935,0,1484,2,R,CL,G,W,6,3,1,1,S,1,S,W,N,0,G,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",387178.7304
20780,2124,N,5107,1920,0,1476,2,R,CL,L,W,7,3,1,1,S,1,N,W,N,1,A,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",369274.5973
20790,2136,N,6400,1910,0,1294,1.5,R,CP,G,M,7,3,1,0,S,1,S,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",289800
20800,2132,Y,7235,1957,0,1552,1,R,SL,G,M,7,3,1,1,S,1,S,F,N,0,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",456900
20810,2136,N,12101,1900,0,1448,1.5,R,CV,G,M,6,3,1,0,S,1,S,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",379800
20820,2132,Y,5000,1965,0,1488,2,R,CL,G,M,7,4,1,1,S,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",420600
20830,2136,Y,5000,1940,0,1190,1,R,CP,G,M,6,3,1,1,S,1,S,F,N,1,A,A,G,N,A,2136,28488,6207,58890,"Hyde Park, MA",338400.2384
20840,2131,Y,9150,1910,1965,1152,2,R,CL,G,M,5,2,1,1,S,1,S,W,N,0,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",394599.6874
20850,2130,Y,2800,1897,0,1745,2,R,CL,G,W,9,3,2,0,M,1,M,W,N,0,A,A,G,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",621900
20860,2131,Y,3162,1935,0,816,1.5,R,CP,G,M,6,2,1,0,S,1,S,F,N,1,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",291600
20870,2132,Y,8423,1949,2016,2040,2,R,CL,G,W,9,4,3,0,M,1,M,W,N,1,A,A,G,N,A,2132,36314,13251,75446,"Cambridge, MA",668200
20880,2124,Y,3600,1931,0,1444,2,R,CL,H,M,6,2,1,1,M,1,S,W,N,0,G,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",470800
20890,2132,Y,4980,1958,0,1317,1.5,R,CP,G,M,6,2,1,1,S,1,S,W,C,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",361900
20900,2136,Y,10000,1910,1996,2494,2,R,CL,G,A,8,5,1,1,M,1,S,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",404000
20910,2132,Y,7362,1969,0,2565,2,R,CL,G,M,6,4,2,1,S,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",593900
20920,2136,Y,5000,1925,0,1594,1.5,R,CL,G,A,7,3,1,1,S,1,S,W,N,0,F,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",309800
20930,2131,Y,4301,1962,0,1776,2,R,CL,G,M,7,4,1,1,M,1,M,W,N,1,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",496100
20940,2136,Y,5312,1960,0,1209,1,R,BW,H,M,7,3,2,0,M,2,N,W,N,1,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",322158.4717
20950,2131,N,12028,1950,0,1600,1,R,RN,G,M,6,2,1,1,S,1,S,F,N,0,A,A,G,N,A,2131,29826,11505,66735,"Roslindale, MA",381800
20960,2136,Y,5280,1945,0,1322,2,R,CL,G,M,7,3,1,1,M,1,M,F,N,1,A,G,G,N,A,2136,28488,6207,58890,"Hyde Park, MA",410400
20970,2136,Y,6126,1955,1980,1781,1,R,RR,G,M,6,3,2,0,S,1,S,F,C,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",307920.0506
20980,2131,Y,4025,1900,2013,1714,2,R,CL,G,M,6,3,1,1,M,1,M,F,N,0,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",449800
20990,2132,Y,4988,1946,0,1584,2,R,CL,L,W,7,4,2,0,S,1,S,W,D,1,A,A,G,N,A,2132,36314,13251,75446,"Cambridge, MA",504800
21000,2132,Y,5061,1927,0,1624,2,R,CL,G,W,6,3,1,1,M,1,M,W,N,1,A,G,G,N,A,2132,36314,13251,75446,"Cambridge, MA",552300
21010,2132,Y,3874,1920,2010,900,1,R,BW,H,W,5,2,1,0,S,1,S,W,N,0,A,G,G,N,A,2132,36314,13251,75446,"Cambridge, MA",329300
21020,2136,Y,10750,1910,2013,2541,2,R,CL,G,M,10,4,2,1,M,1,M,F,C,0,G,G,G,N,A,2136,28488,6207,58890,"Hyde Park, MA",615800
21030,2136,Y,4253,1950,0,1470,2,R,CL,G,W,6,3,1,1,M,1,M,F,N,0,A,A,G,N,A,2136,28488,6207,58890,"Hyde Park, MA",397600
21040,2136,Y,4000,1930,0,1197,1,R,BW,H,M,7,4,1,1,S,1,S,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",270300
21050,2132,Y,5750,1925,2000,1747,2,R,CL,G,W,9,3,2,1,M,1,M,W,N,1,A,A,G,N,A,2132,36314,13251,75446,"Cambridge, MA",566900
21060,2130,Y,12013,1967,2001,3258,1.5,R,SL,G,W,6,4,3,1,M,1,M,F,C,1,A,G,G,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",981300
21070,2136,Y,9300,1950,0,1225,1,R,CP,G,M,8,4,1,0,S,1,N,F,N,1,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",324800
21080,2130,Y,6520,1960,0,1904,2,R,CL,G,W,7,3,1,1,S,1,S,W,N,3,G,G,G,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",771001.7866
21090,2136,Y,4164,1950,0,1285,1,R,CP,G,W,6,3,1,0,S,1,M,F,N,1,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",319500
21100,2130,Y,7304,1940,2005,1798,2,R,CL,G,M,7,3,1,1,M,1,M,W,C,1,A,G,G,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",756588.0875
21110,2132,N,11988,1960,0,1469,1.5,R,CP,G,M,6,3,2,0,S,1,S,W,N,2,A,A,A,N,F,2132,36314,13251,75446,"Cambridge, MA",414734.1085
21120,2136,Y,9234,1969,0,1644,2,R,CL,G,M,10,3,2,1,S,1,S,F,N,1,G,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",452200
21130,2131,Y,4200,1910,0,1759,2,R,CL,G,M,8,3,1,1,S,1,S,W,N,0,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",424163.8779
21140,2136,Y,6219,1920,1984,702,1,R,RN,F,A,6,2,2,0,M,1,M,W,N,0,A,A,A,N,G,2136,28488,6207,58890,"Hyde Park, MA",255100
21150,2136,Y,12472,1870,1960,4207,2,R,CL,H,A,13,7,3,1,M,2,M,W,N,1,A,A,G,N,A,2136,28488,6207,58890,"Hyde Park, MA",702731.5636
21160,2124,Y,4438,1930,0,1432,2,R,CL,H,W,6,3,2,0,M,1,M,W,N,0,G,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",433600
21170,2132,Y,15295,1890,0,2153,2,R,VT,G,M,9,6,1,3,S,1,M,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",735800
21180,2132,Y,5400,1940,0,1632,2,R,CL,G,M,6,3,1,1,S,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",488600
21190,2130,Y,12600,1860,0,1732,1.5,R,CV,G,W,9,2,2,0,S,1,S,W,N,0,F,F,F,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",626700
21200,2132,Y,6300,1922,1975,1576,2,R,CL,L,W,6,3,1,0,S,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",403700
21210,2130,Y,5884,1935,2006,2188,2,R,CL,L,F,7,3,1,1,M,1,M,W,C,1,A,G,G,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",767700
21220,2124,Y,5194,1900,0,2584,2,R,CL,H,M,10,4,1,0,S,1,S,W,N,0,A,G,G,N,A,2124,47783,15913,48841,"Dorchester Center, MA",385100
21230,2132,Y,3706,1950,0,1368,2,R,CL,H,M,6,3,1,0,S,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",374700
21240,2132,Y,4112,1900,2016,2266,2,R,CL,H,S,9,5,2,1,M,1,M,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",579526.7028
21250,2136,Y,6200,1950,0,1275,1.5,R,CP,G,M,7,4,1,1,S,1,S,W,C,1,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",310700
21260,2132,Y,4059,1960,0,1092,1,R,CP,G,M,6,3,1,0,S,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",340900
21270,2136,Y,6250,1950,0,1306,1.5,R,CP,G,M,6,3,1,1,S,1,S,W,C,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",313700
21280,2131,Y,5995,1920,0,1954,2,R,CL,G,M,7,4,1,0,M,1,M,W,N,0,A,A,G,N,F,2131,29826,11505,66735,"Roslindale, MA",471056.9388
21290,2136,Y,3600,1900,0,1476,2,R,CL,H,M,7,3,1,0,S,1,N,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",282100
21300,2136,Y,1315,1965,0,1300,2,R,RM,G,M,7,3,1,1,S,1,S,W,N,0,A,A,A,N,F,2136,28488,6207,58890,"Hyde Park, MA",271700
21310,2130,Y,11671,1967,0,2236,1,R,RR,G,W,7,3,2,1,S,1,S,F,C,0,G,G,G,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",814100
21320,2132,Y,4720,1932,1988,1281,1.5,R,CP,G,M,6,2,1,1,S,1,N,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",374196.3547
21330,2124,Y,4270,1935,0,1638,1,R,BW,H,W,5,2,1,1,M,1,M,W,N,0,A,A,G,N,A,2124,47783,15913,48841,"Dorchester Center, MA",416900
21340,2131,Y,5163,1920,0,1068,1,R,BW,H,M,5,3,1,1,S,1,S,W,N,0,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",359000
21350,2136,Y,4825,1952,0,572,1,R,RN,G,A,4,2,1,0,S,1,S,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",236129.9533
21360,2132,Y,3520,1925,0,1231,2,R,CL,L,W,7,3,1,1,S,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",389249.1393
21370,2136,Y,4669,1950,0,1418,1.5,R,CP,G,M,6,2,1,1,S,1,S,W,N,1,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",319739.3642
21380,2136,Y,6002,1956,0,1306,1,R,SL,G,W,7,3,1,1,S,1,S,F,N,2,G,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",400500
21390,2131,Y,2803,1910,2009,1435,2,R,CL,G,A,6,3,2,0,M,1,M,W,N,1,A,A,G,N,A,2131,29826,11505,66735,"Roslindale, MA",407900
21400,2131,Y,5917,1900,2003,1595,2,R,CL,G,M,8,4,1,1,M,1,M,F,C,1,A,A,G,N,A,2131,29826,11505,66735,"Roslindale, MA",507666.7598
21410,2136,Y,7210,1910,0,1456,2,R,CL,G,M,7,3,1,0,S,1,S,W,N,0,G,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",323200
21420,2136,Y,5706,1940,2015,1326,1.5,R,CP,G,B,6,3,1,1,S,1,S,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",358300
21430,2136,Y,6243,1900,0,1880,2,R,CL,H,M,8,4,1,1,S,1,S,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",379700
21440,2132,Y,5145,1971,2016,1638,2,R,CL,G,M,8,5,3,0,M,1,M,E,C,0,A,A,G,N,A,2132,36314,13251,75446,"Cambridge, MA",575500
21450,2131,Y,5100,1905,0,1767,2,R,CL,G,M,7,3,1,0,S,1,S,W,N,0,G,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",460800
21460,2136,Y,9388,1875,NA,3242,2,R,CL,G,S,9,4,3,0,S,1,S,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",480200
21470,2124,Y,5552,1948,0,1147,1,R,CP,G,M,5,2,1,1,S,1,S,W,N,0,A,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",300100
21480,2132,Y,6350,1950,0,1326,2,R,CL,G,M,7,3,2,1,S,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",483500
21490,2131,Y,9600,1989,2002,1274,2,R,CL,G,F,8,3,1,1,M,1,M,F,N,1,G,G,G,N,A,2131,29826,11505,66735,"Roslindale, MA",592000
21500,2132,Y,5420,1920,2010,1090,1,R,BW,H,M,6,2,1,1,S,1,M,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",372900
21510,2132,Y,6345,1950,0,1050,1,R,CP,G,M,6,3,2,0,M,1,M,W,N,0,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",376507.4217
21520,2131,Y,9883,1900,0,2210,2,R,CL,G,F,10,4,3,0,S,2,S,W,N,2,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",465600
21530,2131,Y,8400,1952,2002,1776,2,R,CL,G,F,6,3,2,0,M,1,S,W,N,1,A,G,G,N,A,2131,29826,11505,66735,"Roslindale, MA",549600
21540,2136,Y,6000,1910,1976,1940,2,R,CL,G,M,8,2,1,1,M,1,M,W,C,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",402000
21550,2136,Y,3182,1945,0,1320,2,R,CL,G,W,6,3,1,0,S,1,M,W,N,1,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",304300
21560,2132,Y,5087,1956,0,1306,1.5,R,CP,G,W,6,3,1,1,S,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",400234.2349
21570,2124,Y,8484,1900,1984,2155,2,R,CL,L,M,8,5,1,1,S,1,N,W,N,0,A,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",354700
21580,2130,Y,2561,1915,0,992,2,R,CL,G,M,6,2,1,0,S,1,S,W,N,0,A,A,A,N,F,2130,35401,10618,75730,"Jamaica Plain, MA",500400
21590,2136,Y,5172,1950,0,1224,1.5,R,CP,G,W,6,3,1,1,S,1,S,F,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",331600
21600,2136,Y,11660,1989,2008,1844,1,R,CN,S,W,7,3,2,0,M,1,M,F,C,1,G,G,G,N,A,2136,28488,6207,58890,"Hyde Park, MA",638400
21610,2132,N,7340,1918,0,1495,2,R,CL,L,M,6,3,1,0,S,1,N,W,N,0,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",433053.6575
21620,2131,Y,6135,1936,2009,1464,2,R,CL,G,W,7,3,1,1,M,1,S,W,C,1,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",471700
21630,2132,Y,6792,1920,2009,2066,2,R,CL,L,M,7,3,2,0,S,1,S,W,C,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",491200
21640,2136,Y,7501,1956,2011,1781,1,R,RR,G,M,7,3,1,1,M,1,M,F,C,0,A,A,G,N,A,2136,28488,6207,58890,"Hyde Park, MA",362800
21650,2136,Y,7500,1954,0,1414,2,R,CL,G,M,7,3,1,1,S,1,S,W,N,0,G,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",380199.7594
21660,2130,Y,3854,1910,0,1739,2,R,CL,G,B,8,4,1,1,S,1,S,W,N,1,G,A,A,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",562819.9722
21670,2136,Y,13500,1820,0,2517,2,R,CL,G,A,11,6,1,1,S,1,S,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",502800
21680,2130,Y,5418,1899,1984,3497,2,R,CL,L,W,11,4,3,0,S,1,S,W,N,5,A,A,G,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",712700
21690,2136,Y,4968,1948,0,1252,1,R,CP,G,M,6,2,1,0,S,1,S,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",327400
21700,2131,Y,11993,1920,0,1238,1.5,R,CP,G,M,6,3,1,1,S,1,S,W,N,0,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",430000
21710,2131,Y,3700,1959,2004,1366,1.5,R,CP,G,M,8,5,2,1,S,2,S,W,N,1,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",413900
21720,2131,Y,6850,1894,0,1646,2,R,CL,G,F,7,4,1,1,M,1,M,F,N,1,A,G,G,N,A,2131,29826,11505,66735,"Roslindale, MA",568398.2056
21730,2131,Y,3862,1919,0,1439,2,R,CL,H,M,6,3,1,0,S,1,S,W,N,0,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",404710.043
21740,2136,Y,5152,1950,0,1262,1,R,CP,G,W,7,3,1,0,S,1,N,F,C,1,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",314000.3857
21750,2132,Y,5160,1920,0,1452,2,R,CL,G,M,7,3,2,0,N,1,S,W,N,0,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",358700
21760,2132,Y,4000,1920,0,1498,2,R,CL,L,W,7,3,1,1,S,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",407100
21770,2130,Y,6672,1964,0,2248,1,R,RN,G,M,6,3,1,1,S,1,S,W,N,2,G,G,G,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",786271.3034
21780,2132,Y,5931,1950,0,1415,1,R,CP,G,M,6,3,1,1,S,1,S,F,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",422311.6386
21790,2132,Y,4317,1920,1984,1440,2,R,CL,G,W,7,3,1,0,M,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",425030.6885
21800,2132,Y,7164,1955,2012,1870,1,R,RN,G,M,9,3,1,1,S,2,M,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",534800
21810,2132,Y,4761,1970,0,1536,2,R,CL,G,W,7,4,1,1,S,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",425635.6956
21820,2132,Y,4864,1950,2010,1680,2,R,CL,G,M,6,3,2,0,S,1,S,F,N,0,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",399900
21830,2124,Y,4436,1960,1986,1122,1,R,SL,G,M,9,3,1,1,S,1,S,W,N,1,A,A,G,N,A,2124,47783,15913,48841,"Dorchester Center, MA",339690.1405
21840,2124,Y,9323,1986,2009,3833,2.5,R,CL,L,M,12,8,3,1,M,1,M,W,C,3,A,G,G,N,A,2124,47783,15913,48841,"Dorchester Center, MA",908100
21850,2124,Y,4193,2002,NA,1460,2,R,CL,G,M,6,3,2,1,S,1,S,W,N,0,G,G,G,N,A,2124,47783,15913,48841,"Dorchester Center, MA",372000
21860,2131,Y,5424,1925,0,1798,2,R,CL,H,W,7,4,2,0,M,1,M,W,N,1,G,A,A,N,F,2131,29826,11505,66735,"Roslindale, MA",508000
21870,2132,Y,6161,1955,2016,1673,2,R,CL,G,W,8,4,1,1,M,1,S,W,C,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",592000
21880,2124,Y,2206,1950,0,952,2,R,RM,G,V,5,3,1,1,S,1,S,F,N,0,A,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",229127.9831
21890,2131,Y,4400,1930,0,950,1,R,BW,H,W,5,2,1,0,S,1,S,W,N,1,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",345300
21900,2132,Y,10759,1967,0,1469,1.5,R,CP,G,W,6,2,1,1,S,1,S,W,N,0,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",413700
21910,2132,Y,5093,1900,0,2992,2,R,CL,G,M,8,4,2,0,S,1,M,W,N,0,A,A,G,N,A,2132,36314,13251,75446,"Cambridge, MA",593900
21920,2132,Y,5610,1960,0,1274,2,R,CL,G,M,6,3,1,1,S,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",413866.3843
21930,2132,Y,14513,1910,0,2084,2,R,CL,G,W,7,3,1,0,S,1,S,W,N,0,A,A,A,N,F,2132,36314,13251,75446,"Cambridge, MA",691900
21940,2124,Y,3521,1910,0,3006,2.5,R,CL,G,M,10,5,2,0,S,1,S,W,N,0,G,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",485900
21950,2124,Y,6900,1925,2004,2105,1,R,BW,G,W,9,4,2,0,M,1,M,W,C,0,A,G,G,N,A,2124,47783,15913,48841,"Dorchester Center, MA",586100
21960,2124,Y,5938,1900,0,2421,2,R,CL,L,W,11,5,1,1,S,1,S,F,N,3,A,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",450755.3063
21970,2132,N,NA,1990,0,1484,2,R,CL,G,F,6,3,1,1,S,1,S,W,N,1,A,G,G,N,A,2132,36314,13251,75446,"Cambridge, MA",379697.3287
21980,2124,Y,5172,1913,0,1560,2,R,CL,H,M,7,3,1,0,S,1,S,W,N,1,A,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",395100
21990,2130,Y,2558,2005,NA,1586,3,R,SD,F,F,6,3,1,1,M,1,M,F,N,0,G,G,G,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",327298.9554
22000,2136,Y,5220,1950,2016,1075,1,R,CP,G,V,6,3,1,0,M,1,M,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",333300
22010,2132,Y,14985,1900,0,3040,2,R,CL,G,M,12,6,2,0,S,1,M,F,N,2,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",774500
22020,2124,N,6527,1960,2005,2097,2,R,CL,G,M,8,4,1,1,M,1,M,W,C,1,A,G,G,N,A,2124,47783,15913,48841,"Dorchester Center, MA",538161.8116
22030,2131,Y,5000,1927,2005,1260,2,R,CL,H,M,7,3,1,0,M,1,M,W,N,0,A,A,G,N,A,2131,29826,11505,66735,"Roslindale, MA",451800
22040,2132,Y,11690,1960,0,988,1,R,RN,G,W,5,2,1,1,S,1,S,W,N,1,A,A,A,N,F,2132,36314,13251,75446,"Cambridge, MA",500400
