objectid,seating_interest_sidewalk,restaurant_name,bulding_number,street,borough,zip,business_address,sidewalk_dimensions_length,sidewalk_dimensions_width,sidewalk_dimensions_area,roadway_dimensions_length,roadway_dimensions_width,roadway_dimensions_area,approved_for_sidewalk_seating,approved_for_roadway_seating,qualify_alcohol,time_of_submission
274,both,STK,28,Little West 12th street,Manhattan,10014,"28 Little West 12th street, Manhattan, NY",35,14,490,35,14,490,yes,yes,yes,2020-06-19T18:49:00Z
7893,sidewalk,CHOPT,1376,3rd Avenue,Manhattan,10075,"1376 3rd Avenue, Manhattan, NY",8,8,64,,,,yes,no,no,2020-07-09T21:49:00Z
9918,openstreets,R&D Foods,602,Vanderbilt Avenue,Brooklyn,11238,"602 Vanderbilt Avenue, Brooklyn, NY",,,,,,,no,no,no,2020-08-06T22:21:00Z
2670,both,Village Square Pizza,147,Ave A,Manhattan,10009,"147 Ave A, Manhattan, NY",10,10,100,8,10,80,yes,yes,no,2020-06-21T03:20:00Z
110,sidewalk,The Original Buddha Bodai,5,Mott Street,Manhattan,10013,"5 Mott Street, Manhattan, NY",4,6,24,,,,yes,no,no,2020-06-19T18:14:00Z
1620,sidewalk,mcdonalds,444,LENOX AVE,Manhattan,10037,"444  LENOX AVE, Manhattan, NY",80,8,640,,,,yes,no,no,2020-06-20T00:40:00Z
3629,both,Cafe Istanbul Inc,25-47,Steinway Street,Queens,11103,"25-47  Steinway Street, Queens, NY",15,20,300,15,8,120,yes,yes,no,2020-06-22T20:54:00Z
3133,both,Fitoor Cafe & Grill Lounge,179-22,Union Turnpike,Queens,11366,"179-22 Union Turnpike, Queens, NY",40,20,800,40,8,320,yes,yes,no,2020-06-22T03:52:00Z
407,roadway,Biskoti Bakery Cafe,3720,30th Ave,Queens,11103,"3720 30th Ave, Queens, NY",,,,76,8,608,no,yes,no,2020-06-19T19:31:00Z
4808,both,Pane Pasta,58 west,8th Street,Manhattan,10011,"58 west 8th Street , Manhattan, NY",16,4,64,16,8,128,yes,yes,no,2020-06-24T18:19:00Z
1903,both,Arturoï¿½s,1617,York AVE,Manhattan,10028,"1617 York AVE, Manhattan, NY",37,22,814,37,8,296,yes,yes,yes,2020-06-20T03:32:00Z
1667,roadway,Good Enough to Eat,520,Columbus Ave,Manhattan,10024,"520 Columbus Ave , Manhattan, NY",,,,10,8,80,no,yes,yes,2020-06-20T00:59:00Z
1347,both,8th Hill Restaurant,359,Columbus Avenue,Manhattan,10024,"359  Columbus Avenue, Manhattan, NY",60,9,540,60,5,300,yes,yes,yes,2020-06-19T23:08:00Z
735,both,The Grey Dog Carmine Inc.,49,Carmine St.,Manhattan,10014,"49 Carmine St., Manhattan, NY",62,8,496,62,8,496,yes,yes,yes,2020-06-19T20:43:00Z
3150,both,BUSHWICK TACO CO,7124,FRESH POND ROAD,Queens,11385,"7124 FRESH POND ROAD, Queens, NY",23,12,276,23,8,184,yes,yes,no,2020-06-22T04:21:00Z
3643,sidewalk,Black Sea Fish & Grill,3100,Ocean Pkwy,Brooklyn,11235,"3100  Ocean Pkwy, Brooklyn, NY",75,15,1125,,,,yes,no,no,2020-06-22T21:01:00Z
6931,sidewalk,Pret A Manger,880,3 Avenue,Manhattan,10022,"880 3 Avenue, Manhattan, NY",8,5,40,,,,yes,no,no,2020-07-02T19:48:00Z
5638,both,JUST MADE 4 U,80-21,37TH AVE,Queens,11372,"80-21  37TH AVE , Queens, NY",16,16,256,16,8,128,yes,yes,no,2020-06-26T17:52:00Z
983,both,MILO'S YARD,564,SENECA AVENUE,Queens,11385,"564 SENECA AVENUE, Queens, NY",20,5,100,20,8,160,yes,yes,yes,2020-06-19T21:30:00Z
6121,both,HOMEMADE BY MIRIAM,88,WEST BROADWAY,Manhattan,10007,"88 WEST BROADWAY, Manhattan, NY",50,8,400,50,8,400,yes,yes,no,2020-06-28T20:12:00Z
8059,both,Tres Chivos,5717,5th Avenue,Brooklyn,11220,"5717 5th Avenue, Brooklyn, NY",8,12,96,10,8,80,yes,yes,no,2020-07-11T06:02:00Z
10221,both,Bay Parkway Seafood Palace Inc,2172,86th Street,Brooklyn,11214,"2172  86th Street, Brooklyn, NY",25,3,75,25,8,200,yes,yes,no,2020-08-13T23:29:00Z
9854,sidewalk,DAXI SICHUAN INC,4021,MAIN STREET,Queens,11354,"4021 MAIN STREET, Queens, NY",3,5,15,,,,yes,no,no,2020-08-05T23:07:00Z
4546,both,Blend Coffee + CoWork,6808,4th avenue,Brooklyn,11220,"6808  4th avenue , Brooklyn, NY",15,9,135,15,8,120,yes,yes,no,2020-06-24T00:02:00Z
7220,both,SABA RESTAURANT,25-75,STEINWAY STREET,Queens,11103,"25-75 STEINWAY STREET, Queens, NY",25,6,150,24,8,192,yes,yes,no,2020-07-04T16:38:00Z
902,both,Il sole restaurant,233,Dyckman street,Manhattan,10034,"233 Dyckman street, Manhattan, NY",15,42,630,41,42,1722,yes,yes,yes,2020-06-19T20:56:00Z
1280,both,Kitchen sink,88,2nd ave,Manhattan,10004,"88  2nd ave , Manhattan, NY",60,15,900,16,10,160,yes,yes,yes,2020-06-19T22:45:00Z
1629,sidewalk,mido,612,amsterdam ave,Manhattan,10024,"612 amsterdam ave, Manhattan, NY",15,10,150,,,,yes,no,yes,2020-06-20T00:42:00Z
1794,both,La Bella vita,163,Mulberry street,Manhattan,10013,"163  Mulberry street , Manhattan, NY",18,8,144,18,8,144,yes,yes,yes,2020-06-20T02:06:00Z
50,both,POSITANO,10018,4TH AVENUE,Brooklyn,11209,"10018  4TH AVENUE, Brooklyn, NY",87,8,696,87,8,696,yes,yes,yes,2020-06-19T17:57:00Z
52,roadway,Ovelia Restaurant,3401,30th ave,Queens,11103,"3401  30th ave, Queens, NY",,,,83,21,1743,no,yes,yes,2020-06-19T17:54:00Z
8245,both,River Thai & Beyond,1766,Amsterdam Avenue,Manhattan,10031,"1766  Amsterdam Avenue, Manhattan, NY",16,6,96,16,8,128,yes,yes,no,2020-07-14T00:35:00Z
191,sidewalk,KBBQ 162 CORP,41-22,162ND STREET,Queens,11358,"41-22 162ND STREET, Queens, NY",12,4,48,,,,yes,no,no,2020-06-19T18:31:00Z
2562,sidewalk,South Slope Eatery,486,5th Avenue,Brooklyn,11215,"486 5th Avenue, Brooklyn, NY",20,5,100,,,,yes,no,no,2020-06-21T00:40:00Z
725,sidewalk,Franchia Vegan Cafe,12,Park Avenue,Manhattan,10016,"12 Park Avenue, Manhattan, NY",25,11,275,,,,yes,no,yes,2020-06-19T20:37:00Z
2360,sidewalk,McDonalds,1826,Eastchester Road,Bronx,10461,"1826 Eastchester Road, Bronx, NY",60,10,600,,,,yes,no,no,2020-06-20T21:42:00Z
1204,roadway,Ramen Bar,140,Plymouth Street,Brooklyn,11201,"140  Plymouth Street, Brooklyn, NY",,,,40,8,320,no,yes,no,2020-06-19T22:29:00Z
9780,both,Le Pain Quotidien Madison,1131,Madison Ave,Manhattan,10028,"1131 Madison Ave, Manhattan, NY",30,3,90,30,8,240,yes,yes,no,2020-08-04T15:55:00Z
1518,roadway,DONOVANS OF BAYSIDE,214-16,41 AVE,Queens,11361,"214-16  41 AVE, Queens, NY",,,,40,8,320,no,yes,yes,2020-06-19T23:55:00Z
7683,roadway,Joes Pizza,216,bedford ave,Brooklyn,11249,"216 bedford ave, Brooklyn, NY",,,,32,8,256,no,yes,no,2020-07-08T18:54:00Z
4183,both,Rockaway West Indian Roti Shop,12221,Rockaway Blvd q,Queens,11420,"12221 Rockaway Blvd q, Queens, NY",15,7,105,25,8,200,yes,yes,no,2020-06-23T17:13:00Z
801,both,Kaffe 1668,401,Greenwich Street,Manhattan,10013,"401 Greenwich Street, Manhattan, NY",13,10,130,13,8,104,yes,yes,no,2020-06-19T20:58:00Z
1951,both,Latin Cabana,34-15,Steinway Street,Queens,11101,"34-15  Steinway Street , Queens, NY",27,17,459,27,7,189,yes,yes,no,2020-06-20T04:34:00Z
254,sidewalk,718 Bistro,350,Neptune Ave,Brooklyn,11235,"350 Neptune Ave, Brooklyn, NY",65,8,520,,,,yes,no,no,2020-06-19T18:38:00Z
6546,roadway,Stop Inn Restaurant & Cafe,60-22,Roosevelt Ave,Queens,11377,"60-22  Roosevelt Ave, Queens, NY",,,,50,8,400,no,yes,no,2020-06-30T20:40:00Z
38,sidewalk,Rollin Greens,247-77,Jamaica Avenue,Queens,11426,"247-77 Jamaica Avenue, Queens, NY",100,5,500,,,,yes,no,yes,2020-06-19T17:50:00Z
6902,sidewalk,cafe bench,194-09,Northern  blvd,Queens,11358,"194-09 Northern  blvd, Queens, NY",38,7,266,,,,yes,no,no,2020-07-02T18:47:00Z
6694,sidewalk,Delight Diner and Donuts,66-91,Fresh Pond Road,Brooklyn,11385,"66-91  Fresh Pond Road, Brooklyn, NY",13,9,117,,,,yes,no,no,2020-07-01T19:50:00Z
3213,sidewalk,Tomï¿½s Restaurant,782,Washington Avenue,Brooklyn,11238,"782 Washington Avenue , Brooklyn, NY",90,20,1800,,,,yes,no,no,2020-06-22T14:00:00Z
1819,both,LES Crepes,25,Essex Street Front A,Manhattan,10002,"25 Essex Street Front A, Manhattan, NY",51,3,153,51,8,408,yes,yes,no,2020-06-20T03:16:00Z
9958,sidewalk,Maria Bonita Bakery Juice Bar,42,West Fordham Road,Bronx,10468,"42 West Fordham Road, Bronx, NY",14,12,168,,,,yes,no,no,2020-08-07T02:43:00Z
4408,both,Smith street bagels,202,smith street,Brooklyn,11201,"202 smith street, Brooklyn, NY",40,10,400,25,8,200,yes,yes,no,2020-06-23T21:37:00Z
1802,roadway,Chelsea Ristorante,108,8th ave,Manhattan,10011,"108 8th ave, Manhattan, NY",,,,8,25,200,no,yes,yes,2020-06-20T02:13:00Z
1113,both,White Horse Hospitality LLC,567,Hudson St.,Manhattan,10014,"567 Hudson St., Manhattan, NY",71,11,781,71,8,568,yes,yes,yes,2020-06-19T22:07:00Z
1891,sidewalk,Tequila Chitos Mexican Bar & Grill,358,W 23rd Street,Manhattan,10011,"358 W 23rd Street, Manhattan, NY",17,8,136,,,,yes,no,yes,2020-06-20T02:50:00Z
1633,sidewalk,Club A Steakhouse,240,East 58th Street,Manhattan,10022,"240 East 58th Street, Manhattan, NY",40,15,600,,,,yes,no,yes,2020-06-20T00:39:00Z
384,both,Toscana49,143,East 49th street,Manhattan,10017,"143 East 49th street , Manhattan, NY",16,16,256,16,10,160,yes,yes,yes,2020-06-19T19:24:00Z
9993,sidewalk,Don Chile Mexican Grill,801,Southern Boulevard,Bronx,10459,"801 Southern Boulevard , Bronx, NY",54,20,1080,,,,yes,no,no,2020-08-07T19:19:00Z
226,both,Canary Club,303,Broome,Manhattan,10002,"303 Broome, Manhattan, NY",25,2,50,25,8,200,yes,yes,yes,2020-06-19T18:34:00Z
4013,sidewalk,SHORTY'S ROTI SHOP,65,Victory Blvd,Staten Island,10301,"65 Victory Blvd , Staten Island, NY",18,18,324,,,,yes,no,no,2020-06-23T02:17:00Z
1072,both,Two Hands Williamsburg,262,Kent Ave,Brooklyn,11249,"262 Kent Ave, Brooklyn, NY",60,8,480,26,8,208,yes,yes,yes,2020-06-19T20:52:00Z
1404,roadway,Rabbit House Omakase & Japanese Bar,41,Essex Street,Manhattan,10002,"41 Essex Street , Manhattan, NY",,,,10,8,80,no,yes,yes,2020-06-19T23:10:00Z
2928,sidewalk,Mama's Coffee Shop and Restaurant,1301,40th avenue,Queens,11101,"1301 40th avenue, Queens, NY",15,6,90,,,,yes,no,no,2020-06-21T21:35:00Z
234,both,Shanghai Red,127-129,WESTCHESTER AVE,Bronx,10461,"127-129 WESTCHESTER AVE, Bronx, NY",100,7,700,10,8,80,yes,yes,yes,2020-06-19T18:12:00Z
620,sidewalk,Jody's Club Forest,372,Forest Ave,Staten Island,10301,"372 Forest Ave, Staten Island, NY",18,50,900,,,,yes,no,yes,2020-06-19T20:18:00Z
4286,sidewalk,Los Tacos No.1,136,Church St.,Manhattan,10007,"136 Church St. , Manhattan, NY",30,15,450,,,,yes,no,no,2020-06-23T19:46:00Z
573,sidewalk,Giulianas,4105,Hylan blvd,Staten Island,10308,"4105 Hylan blvd, Staten Island, NY",30,10,300,,,,yes,no,yes,2020-06-19T19:59:00Z
6534,roadway,The Calaveras Cafe,947,Columbus Avenue,Manhattan,10025,"947  Columbus Avenue, Manhattan, NY",,,,10,8,80,no,yes,no,2020-06-30T20:01:00Z
192,both,Lee's Tavern,60,Hancock St,Staten Island,10305,"60  Hancock St, Staten Island, NY",74,9,666,30,8,240,yes,yes,yes,2020-06-19T18:28:00Z
8912,roadway,XO Taste Inc.,41,Elizabeth Street,Manhattan,10013,"41 Elizabeth Street, Manhattan, NY",,,,15,8,120,no,yes,no,2020-07-20T00:56:00Z
1853,sidewalk,Sottocasa Pizzeria,298,Atlantic Avenue,Brooklyn,11201,"298 Atlantic Avenue, Brooklyn, NY",10,4,40,,,,yes,no,yes,2020-06-20T02:38:00Z
3362,both,Gotan,130,Franklin St,Manhattan,10013,"130  Franklin St, Manhattan, NY",19,50,950,0,0,0,yes,yes,no,2020-06-22T18:01:00Z
365,sidewalk,BARACHOU,449,Amsterdam Avenue,Manhattan,10024,"449 Amsterdam Avenue, Manhattan, NY",12,6,72,,,,yes,no,no,2020-06-19T19:20:00Z
2472,sidewalk,Angela's Pizzeria,3435,fulton street,Brooklyn,11208,"3435  fulton street , Brooklyn, NY",10,11,110,,,,yes,no,no,2020-06-20T23:12:00Z
7353,both,SAPPORO,7812,3RD AVE,Brooklyn,11209,"7812  3RD AVE, Brooklyn, NY",20,16,320,20,8,160,yes,yes,no,2020-07-06T08:14:00Z
3506,sidewalk,Cafe con Amor,64-16,Roosevelt Ave,Queens,11377,"64-16  Roosevelt Ave, Queens, NY",12,10,120,,,,yes,no,no,2020-06-22T19:43:00Z
7327,roadway,SHILINXIANG SEAFOOD RESTAURANT,13532,40TH ROAD,Queens,11354,"13532 40TH ROAD, Queens, NY",,,,15,4,60,no,yes,no,2020-07-06T01:03:00Z
5005,both,Igloo rolls,102 22,39th ave,Queens,11368,"102 22 39th ave , Queens, NY",2,3,6,2,2,4,yes,yes,no,2020-06-24T22:48:00Z
748,both,Maman Nomad,22W.,25th Street,Manhattan,10013,"22W. 25th Street, Manhattan, NY",25,3,75,25,8,200,yes,yes,no,2020-06-19T20:46:00Z
7063,both,Pita Pan,37-15,30th Avenue,Queens,11103,"37-15 30th Avenue, Queens, NY",15,6,90,15,8,120,yes,yes,no,2020-07-03T04:21:00Z
9646,both,Ground Support,399,W Broadway,Manhattan,10012,"399  W Broadway , Manhattan, NY",30,8,240,30,8,240,yes,yes,no,2020-07-31T22:47:00Z
1803,roadway,Angel of Harlem,2272,Frederick Douglass Boulevard,Manhattan,10027,"2272  Frederick Douglass Boulevard , Manhattan, NY",,,,70,8,560,no,yes,yes,2020-06-20T02:05:00Z
9196,sidewalk,My Second Wife,169-04,Hillside Avenue,Queens,11432,"169-04 Hillside Avenue, Queens, NY",18,7,126,,,,yes,no,no,2020-07-23T19:14:00Z
1862,sidewalk,La Mitad Del Mundo Bar  Restaurant Corp,104-10,Roosevelt Ave,Queens,11368,"104-10 Roosevelt Ave, Queens, NY",19,9,171,,,,yes,no,yes,2020-06-20T02:53:00Z
103,both,Brooklyn chop house,150,nassau street,Manhattan,10038,"150 nassau street, Manhattan, NY",20,13,260,20,10,200,yes,yes,yes,2020-06-19T17:54:00Z
9436,both,Joloff Restaurant 2,1168,Bedford Avenue,Brooklyn,11216,"1168  Bedford Avenue , Brooklyn, NY",17,4,68,17,8,136,yes,yes,no,2020-07-28T03:30:00Z
4124,sidewalk,The New Portales Taqueria Corp,2508A,Broadway,Queens,11106,"2508A  Broadway, Queens, NY",18,14,252,,,,yes,no,no,2020-06-23T08:14:00Z
132,both,LES Enfants de Bohï¿½me,177,Henry Street  (aka 16-18 Jefferson Street),Manhattan,10002,"177 Henry Street  (aka 16-18 Jefferson Street), Manhattan, NY",70,5,350,45,8,360,yes,yes,yes,2020-06-19T18:01:00Z
4120,sidewalk,Sizzle Falafel bar,186-15,Union turnpike,Queens,11366,"186-15 Union turnpike , Queens, NY",15,8,120,,,,yes,no,no,2020-06-23T07:10:00Z
9720,sidewalk,dunkin donuts,1995,Amsterdam Avenue,Manhattan,10032,"1995  Amsterdam Avenue, Manhattan, NY",12,3,36,,,,yes,no,no,2020-08-03T01:00:00Z
3151,both,How Greek It Is,2224,Hylan Blvd,Staten Island,10306,"2224 Hylan Blvd, Staten Island, NY",24,6,144,36,8,288,yes,yes,no,2020-06-22T04:24:00Z
4898,both,Lezzet Turkish Restaurant,132 E,61st street,Manhattan,10065,"132 E 61st street , Manhattan, NY",24,12,288,24,8,192,yes,yes,no,2020-06-24T20:37:00Z
10081,both,Ben & Teena's Ice Cream,39-33,Bell Blvd,Queens,11361,"39-33 Bell Blvd, Queens, NY",8,4,32,8,4,32,yes,yes,no,2020-08-09T20:03:00Z
35,both,Sundays Well,360,3rd Ave,Manhattan,10016,"360  3rd Ave, Manhattan, NY",15,7,105,27,8,216,yes,yes,yes,2020-06-19T17:49:00Z
8451,roadway,Tamam,1108,Lexington Ave,Manhattan,10075,"1108 Lexington Ave, Manhattan, NY",,,,26,8,208,no,yes,no,2020-07-15T20:59:00Z
1313,both,dr clark,104,Bayard Street,Manhattan,10013,"104 Bayard Street, Manhattan, NY",30,10,300,30,8,240,yes,yes,yes,2020-06-19T22:55:00Z
1434,both,Kingston,218,West 116th Street,Manhattan,10026,"218 West 116th Street, Manhattan, NY",15,11,165,15,8,120,yes,yes,yes,2020-06-19T23:32:00Z
1342,sidewalk,Call it a wrap,1198b,Forest av,Staten Island,10310,"1198b Forest av , Staten Island, NY",60,18,1080,,,,yes,no,no,2020-06-19T23:09:00Z
652,roadway,Astoria boulevard restaurant group Ltd,3329,Astoria blvd N,Queens,11103,"3329  Astoria blvd N , Queens, NY",,,,52,8,416,no,yes,yes,2020-06-19T20:25:00Z
5495,both,Point Brazil Restaurant,38-01,31st Avenue,Queens,11103,"38-01 31st Avenue, Queens, NY",55,3,165,36,8,288,yes,yes,no,2020-06-26T00:11:00Z
4175,both,Creme,27.5,Essex St,Manhattan,10002,"27 1/2  Essex St, Manhattan, NY",12,5,60,12,8,96,yes,yes,no,2020-06-23T17:00:00Z
412,both,Sean Og Enterprises LLC,6002,Woodside Avenue,Queens,11377,"6002 Woodside Avenue, Queens, NY",88,6,528,88,8,704,yes,yes,yes,2020-06-19T18:52:00Z
3097,both,Crepe Factory,7306,3rd ave,Brooklyn,11209,"7306 3rd ave, Brooklyn, NY",18,14,252,8,14,112,yes,yes,no,2020-06-22T02:30:00Z
6372,both,ORALE MEXICO,3019,ASTORIA BLVD,Queens,11102,"3019 ASTORIA BLVD, Queens, NY",13,18,234,13,8,104,yes,yes,no,2020-06-29T22:56:00Z
4014,sidewalk,McDonalds,3549,BROADWAY,Manhattan,10031,"3549 BROADWAY, Manhattan, NY",55,5,275,,,,yes,no,no,2020-06-23T02:18:00Z
2149,sidewalk,Vanilla cafe,87-01,Roosevelt ave,Queens,11732,"87-01 Roosevelt ave, Queens, NY",35,7,245,,,,yes,no,no,2020-06-20T18:21:00Z
8740,sidewalk,Joes pizza,150,East 14 st,Manhattan,10003,"150 East 14 st, Manhattan, NY",4,20,80,,,,yes,no,no,2020-07-17T20:00:00Z
3624,sidewalk,Noods n chill,170,s 3rd st,Brooklyn,11211,"170 s 3rd st, Brooklyn, NY",40,14,560,,,,yes,no,no,2020-06-22T20:50:00Z
7722,sidewalk,Pret a Manger,787,7th Avenue,Manhattan,10019,"787 7th Avenue, Manhattan, NY",20,2,40,,,,yes,no,no,2020-07-08T21:47:00Z
127,both,Tomi Jazz,239,East 53rd Street,Manhattan,10022,"239 East 53rd Street, Manhattan, NY",29,2,58,29,8,232,yes,yes,yes,2020-06-19T18:05:00Z
9703,sidewalk,dunkin donuts,2451,eastchester road,Bronx,10469,"2451 eastchester road, Bronx, NY",12,3,36,,,,yes,no,no,2020-08-02T19:58:00Z
1067,sidewalk,Bella Gioia,209,4th Ave,Brooklyn,11217,"209  4th Ave, Brooklyn, NY",15,3,45,,,,yes,no,yes,2020-06-19T21:53:00Z
8542,roadway,bagel pub,287,9th street,Brooklyn,11215,"287 9th street, Brooklyn, NY",,,,20,8,160,no,yes,no,2020-07-16T13:27:00Z
4767,both,Agavi Juice,72,east 7th,Manhattan,10003,"72  east 7th, Manhattan, NY",8,4,32,15,6,90,yes,yes,no,2020-06-24T16:35:00Z
4226,both,Nacho Macho Taco,82,5th ave.,Brooklyn,11217,"82 5th ave. , Brooklyn, NY",11,8,88,11,8,88,yes,yes,no,2020-06-23T18:41:00Z
7820,both,Nonnaz Pizzeria,49-14,30th ave,Queens,11377,"49-14  30th ave, Queens, NY",20,8,160,20,8,160,yes,yes,no,2020-07-09T06:25:00Z
9442,both,Tropical Rotisserie Chicken,2701,Sedgwick Avenue,Bronx,10468,"2701 Sedgwick Avenue, Bronx, NY",23,11,253,23,8,184,yes,yes,no,2020-07-28T07:00:00Z
154,roadway,The Boil,139,Chrystie St,Manhattan,10002,"139 Chrystie St, Manhattan, NY",,,,24,8,192,no,yes,yes,2020-06-19T18:21:00Z
1058,sidewalk,Maite,159,Central Ave,Brooklyn,11221,"159 Central Ave, Brooklyn, NY",9,5,45,,,,yes,no,yes,2020-06-19T21:51:00Z
205,sidewalk,Sushi Sennin,30,E 33rd St,Manhattan,10016,"30 E 33rd St, Manhattan, NY",17,6,102,,,,yes,no,yes,2020-06-19T18:34:00Z
4772,sidewalk,Dunhill cafe,109,West 45 Street,Manhattan,10036,"109 West 45 Street , Manhattan, NY",35,11,385,,,,yes,no,no,2020-06-24T16:43:00Z
7227,sidewalk,Hot bagels on 5th Corp,523,5th ave,Brooklyn,11215,"523  5th ave, Brooklyn, NY",10,10,100,,,,yes,no,no,2020-07-04T17:43:00Z
8414,both,Sophie's Restaurant,369,Lexington Ave,Manhattan,10017,"369  Lexington Ave, Manhattan, NY",15,8,120,15,8,120,yes,yes,no,2020-07-15T06:11:00Z
872,both,Fort Washington Public House,3938,Broadway,Manhattan,10032,"3938 Broadway, Manhattan, NY",85,24,2040,85,8,680,yes,yes,yes,2020-06-19T21:09:00Z
729,both,Croton Reservoir Tavern,108,West 40th,Manhattan,10018,"108 West 40th, Manhattan, NY",30,14,420,30,8,240,yes,yes,yes,2020-06-19T20:32:00Z
1484,roadway,Zest,249,Broome St,Manhattan,10002,"249 Broome St, Manhattan, NY",,,,21,8,168,no,yes,yes,2020-06-19T21:51:00Z
3823,sidewalk,Leoï¿½s Pizza,31-01,36 ave,Queens,11106,"31-01  36 ave, Queens, NY",27,10,270,,,,yes,no,no,2020-06-22T23:06:00Z
462,sidewalk,Eataly,200,5th Avenue,Manhattan,10010,"200  5th Avenue , Manhattan, NY",87,11,957,,,,yes,no,yes,2020-06-19T18:54:00Z
5317,both,BAGEL PUB,775,FRANKLIN AVE,Brooklyn,11238,"775 FRANKLIN AVE, Brooklyn, NY",20,3,60,12,8,96,yes,yes,no,2020-06-25T19:25:00Z
8010,both,Taqueria Santa Fe,4708,47th Av,Queens,11377,"4708 47th Av, Queens, NY",14,10,140,14,8,112,yes,yes,no,2020-07-10T19:31:00Z
5725,sidewalk,LaSalle Bakery,3139,E. Tremont Avenue,Bronx,10588,"3139 E. Tremont Avenue , Bronx, NY",13,9,117,,,,yes,no,no,2020-06-26T20:51:00Z
8775,both,Sweatshop,232,Metropolitan Avenue,Brooklyn,11211,"232 Metropolitan Avenue, Brooklyn, NY",27,5,135,36,8,288,yes,yes,no,2020-07-17T22:47:00Z
2498,both,Hamiz Lamiz Anis Inc,25-57,Steinway Street,Queens,11103,"25-57 Steinway Street, Queens, NY",12,20,240,12,8,96,yes,yes,no,2020-06-20T23:39:00Z
190,sidewalk,Anthony & Sal's Pizza Express,1809,Williamsbridge Rd,Bronx,10461,"1809 Williamsbridge Rd, Bronx, NY",13,7,91,,,,yes,no,no,2020-06-19T18:29:00Z
5548,sidewalk,Liebre Cafe LLC,4017,7th Avenue,Brooklyn,11232,"4017 7th Avenue, Brooklyn, NY",16,15,240,,,,yes,no,no,2020-06-26T01:50:00Z
7686,sidewalk,ESSEN,290,Madison Ave,Manhattan,10017,"290 Madison Ave, Manhattan, NY",42,7,294,,,,yes,no,no,2020-07-08T19:18:00Z
1786,both,Proletariat,102,St Marks Place,Manhattan,10009,"102 St Marks Place, Manhattan, NY",25,7,175,25,8,200,yes,yes,yes,2020-06-20T02:04:00Z
4785,sidewalk,"FGNY 2847 BROADWAY, LLC",2847,Broadway,Manhattan,10025,"2847 Broadway, Manhattan, NY",35,5,175,,,,yes,no,no,2020-06-24T17:14:00Z
3655,sidewalk,El Patio Mexicano,3764,Broadway,Manhattan,10032,"3764 Broadway, Manhattan, NY",20,6,120,,,,yes,no,no,2020-06-22T21:09:00Z
5261,sidewalk,NURIAï¿½S,138-16,Jamaica avenue,Queens,11435,"138-16 Jamaica avenue , Queens, NY",24,5,120,,,,yes,no,no,2020-06-25T17:21:00Z
3584,sidewalk,cafe bench,194-09,Northern Blvd,Queens,11358,"194-09 Northern Blvd, Queens, NY",25,5,125,,,,yes,no,no,2020-06-22T20:30:00Z
3810,sidewalk,Hartbreakers,820,Hart Street,Brooklyn,11237,"820 Hart Street, Brooklyn, NY",24,8,192,,,,yes,no,no,2020-06-22T22:55:00Z
648,sidewalk,Langkawi Restaurant,5323,8 Avenue,Brooklyn,11220,"5323 8 Avenue, Brooklyn, NY",5,50,250,,,,yes,no,no,2020-06-19T19:41:00Z
595,sidewalk,le cafe coffee,407,park ave south,Manhattan,10016,"407 park ave south, Manhattan, NY",12,12,144,,,,yes,no,no,2020-06-19T20:15:00Z
2648,both,Semkeh,23,Grattan Street,Brooklyn,11206,"23  Grattan Street , Brooklyn, NY",40,12,480,60,8,480,yes,yes,no,2020-06-21T02:39:00Z
374,sidewalk,Black iris,228,Dekalb ave,Brooklyn,11205,"228  Dekalb ave, Brooklyn, NY",30,4,120,,,,yes,no,yes,2020-06-19T19:20:00Z
985,both,Chela,408,5th Ave.,Brooklyn,11215,"408 5th Ave. , Brooklyn, NY",16,8,128,16,8,128,yes,yes,yes,2020-06-19T21:33:00Z
3100,sidewalk,Culture An American Yogurt Company,331,5th Avenue,Brooklyn,11215,"331 5th Avenue, Brooklyn, NY",15,13,195,,,,yes,no,no,2020-06-22T02:35:00Z
10125,sidewalk,Ramen DANBO,48,Carmine st,Manhattan,10014,"48 Carmine st, Manhattan, NY",19,18,342,,,,yes,no,no,2020-08-11T05:36:00Z
2327,roadway,Patacon Pisao,85-22,Grand Avenue,Queens,11373,"85-22 Grand Avenue , Queens, NY",,,,12,8,96,no,yes,no,2020-06-20T21:12:00Z
9279,both,SAB Restaurant Corp,214,E 45th Street,Manhattan,10017,"214 E 45th Street, Manhattan, NY",20,15,300,20,8,160,yes,yes,no,2020-07-24T22:23:00Z
1420,both,Clover Club,210,Smith Street,Brooklyn,11201,"210  Smith Street, Brooklyn, NY",21,15,315,21,8,168,yes,yes,yes,2020-06-19T23:05:00Z
497,both,Baby Jane,899,Fulton Street,Brooklyn,11238,"899  Fulton Street, Brooklyn, NY",26,4,104,26,4,104,yes,yes,yes,2020-06-19T19:34:00Z
5586,sidewalk,AFRICA KINE RESTO LLC,2267,ADAM CLAYTON POWELL BOULEVARD,Manhattan,10030,"2267 ADAM CLAYTON POWELL BOULEVARD, Manhattan, NY",15,12,180,,,,yes,no,no,2020-06-26T04:39:00Z
9729,sidewalk,pastelillos house & deli,613,138 ST,Bronx,10454,"613 138 ST, Bronx, NY",8,8,64,,,,yes,no,no,2020-08-03T04:12:00Z
