objectid,seating_interest_sidewalk,restaurant_name,bulding_number,street,borough,zip,business_address,sidewalk_dimensions_length,sidewalk_dimensions_width,sidewalk_dimensions_area,roadway_dimensions_length,roadway_dimensions_width,roadway_dimensions_area,approved_for_sidewalk_seating,approved_for_roadway_seating,qualify_alcohol,time_of_submission
623,sidewalk,Ateaz Organic Coffee and Tea,1575,1575 Second ave,Manhattan,10028,"1575 1575 Second ave , Manhattan, NY",35,20,700,,,,yes,no,no,2020-06-19T20:11:00Z
647,both,Lasagna Restaurant,196,8th,Manhattan,10011,"196 8th, Manhattan, NY",21,16,336,34,12,408,yes,yes,yes,2020-06-19T20:23:00Z
669,both,BELLA LUNA RESTAURANT,574,574 Columbus Avenue,Manhattan,10024,"574 574 Columbus Avenue, Manhattan, NY",8,8,64,20,8,160,yes,yes,yes,2020-06-19T20:28:00Z
730,sidewalk,Jimmy Max,280,280 Watchogue Rd,Staten Island,10314,"280 280 Watchogue Rd, Staten Island, NY",60,2,120,,,,yes,no,yes,2020-06-19T20:33:00Z
744,both,Oregano,102,Berry,Brooklyn,11249,"102  Berry, Brooklyn, NY",16,12,192,16,10,160,yes,yes,yes,2020-06-19T20:44:00Z
751,sidewalk,Grey Lady,77,Delancey,Manhattan,10002,"77 Delancey, Manhattan, NY",88,9,792,,,,yes,no,yes,2020-06-19T20:44:00Z
768,both,Soothr,204,East 13th,Manhattan,10003,"204 East 13th , Manhattan, NY",13,16,208,9,23,207,yes,yes,yes,2020-06-19T20:35:00Z
791,both,The Cecil Steakhouse,206-210,118th Street,Manhattan,10026,"206-210 118th Street, Manhattan, NY",50,9,450,50,9,450,yes,yes,yes,2020-06-19T20:53:00Z
800,sidewalk,Istanbul Bay,2202,86 th,Brooklyn,11214,"2202  86 th, Brooklyn, NY",70,8,560,,,,yes,no,no,2020-06-19T20:56:00Z
803,both,Portofino restaurant,109 32,As an ave. Forest hills,Queens,11375,"109 32 As an ave. Forest hills, Queens, NY",92,10,920,60,8,480,yes,yes,yes,2020-06-19T20:45:00Z
823,sidewalk,Coopertown Diner,339 1Ave.,339 1st ave,Manhattan,10003,"339 1Ave. 339 1st ave, Manhattan, NY",24,15,360,,,,yes,no,yes,2020-06-19T20:36:00Z
